food_name_std,fdcId,usda_description,calories_kcal_100g,carbs_g_100g,protein_g_100g,fat_g_100g,match_source,usda_similarity_pct,dataType,query_used
crackers,173161,Rice crackers,,,,,api_hit,76.19047619047619,SR Legacy,crackers
wings,170478,"Winged bean leaves, raw",,,,,api_hit,35.714285714285715,SR Legacy,wings
green onion pancake,170092,Potato pancakes,,,,,api_hit,58.82352941176471,SR Legacy,green onion pancake
mixed vegetables,173514,"Babyfood, dinner, mixed vegetable, strained",,,,,api_hit,54.23728813559322,SR Legacy,mixed vegetables
wood ear mushroom mushroom,1999627,"Mushroom, oyster",,,,,api_hit,43.13725490196079,Foundation,wood ear mushroom mushroom mushroom
pork chops,2727575,"Pork, chop, center cut, raw",,,,,api_hit,48.64864864864865,Foundation,pork chops
blackberries,173946,"Blackberries, raw",,,,,api_hit,82.75862068965517,SR Legacy,blackberries
rice noodles,169742,"Rice noodles, dry",,,,,api_hit,82.75862068965517,SR Legacy,rice noodles
beef,172012,"Bologna, beef",,,,,api_hit,47.05882352941176,SR Legacy,beef
yogurt and nuts,2515374,"Nuts, cashew nuts, raw",,,,,api_hit,48.64864864864865,Foundation,yogurt and nuts
chia seeds,2710819,"Chia seeds, dry, raw",,,,,api_hit,66.66666666666666,Foundation,chia seeds seeds
flax seed,170554,"Seeds, chia seeds, dried",,,,,api_hit,47.368421052631575,SR Legacy,flax seed seed
eggs,172673,"Bread, egg",,,,,api_hit,42.857142857142854,SR Legacy,eggs
fried rice,172451,"Tofu, fried",,,,,api_hit,47.61904761904761,SR Legacy,fried rice
ground mushroom,2003603,"Mushroom, beech",,,,,api_hit,53.333333333333336,Foundation,ground mushroom
trout,175153,"Fish, trout, mixed species, raw",,,,,api_hit,27.77777777777778,SR Legacy,trout
bacon,172439,"Bacon, meatless",,,,,api_hit,50.0,SR Legacy,bacon
tofu ground pork,2514745,"Pork, ground, raw",,,,,api_hit,60.60606060606061,Foundation,tofu ground pork
beef brisket,170199,"Beef, cured, corned beef, brisket, raw",,,,,api_hit,48.0,SR Legacy,beef brisket
sliced pork,168322,"Pork, cured, bacon, pre-sliced, cooked, pan-fried",,,,,api_hit,30.0,SR Legacy,sliced pork
sheep milk,170882,"Milk, sheep, fluid",,,,,api_hit,50.0,SR Legacy,sheep milk
bak choy,2685572,"Cabbage, bok choy, raw",,,,,api_hit,53.333333333333336,Foundation,bak choy
skyr yogurt yogurt,168104,"Frozen yogurts, chocolate",,,,,api_hit,44.0,SR Legacy,skyr yogurt yogurt yogurt
chia seeds seeds,2710819,"Chia seeds, dry, raw",,,,,api_hit,61.904761904761905,Foundation,chia seeds seeds seeds
kale,168421,"Kale, raw",,,,,api_hit,61.53846153846154,SR Legacy,kale
skyr yogurt,168104,"Frozen yogurts, chocolate",,,,,api_hit,51.162790697674424,SR Legacy,skyr yogurt yogurt
walnut milk,171030,"Oil, walnut",,,,,api_hit,54.54545454545454,SR Legacy,walnut milk
garlic green beans,172273,"Babyfood, green beans, dices, toddler",,,,,api_hit,47.27272727272727,SR Legacy,garlic green beans
apple cider vinegar,173469,"Vinegar, cider",,,,,api_hit,42.42424242424242,SR Legacy,apple cider vinegar
beef stir fry,169253,"Mushrooms, white, stir-fried",,,,,api_hit,39.02439024390244,SR Legacy,beef stir fry
bok choy,2685572,"Cabbage, bok choy, raw",,,,,api_hit,53.333333333333336,Foundation,bok choy
egg noodles,169731,"Noodles, egg, dry, enriched",,,,,api_hit,36.84210526315789,SR Legacy,egg noodles
beef tendon,170602,"Beef, cured, corned beef, canned",,,,,api_hit,41.86046511627907,SR Legacy,beef tendon
stir fried green beans,169253,"Mushrooms, white, stir-fried",,,,,api_hit,36.0,SR Legacy,stir fried green beans
sweet peas,2644284,"Blackeye pea, dry",,,,,api_hit,44.44444444444444,Foundation,sweet peas
cooked mixed greens,169391,"Cauliflower, green, cooked, with salt",,,,,api_hit,35.714285714285715,SR Legacy,cooked mixed greens
apple,175032,"Strudel, apple",,,,,api_hit,52.63157894736842,SR Legacy,apple
chinese broccoli,168905,"Noodles, chinese, chow mein",,,,,api_hit,46.51162790697674,SR Legacy,chinese broccoli
garlic mushrooms,1999627,"Mushroom, oyster",,,,,api_hit,56.25,Foundation,garlic mushrooms
mixed greens,2747653,"Beet greens, raw",,,,,api_hit,57.14285714285714,Foundation,mixed greens
milk,174980,"Crackers, milk",,,,,api_hit,44.44444444444444,SR Legacy,milk
pecans,170182,"Nuts, pecans",,,,,api_hit,66.66666666666666,SR Legacy,pecans
nappa cabbage,169975,"Cabbage, raw",,,,,api_hit,56.00000000000001,SR Legacy,nappa cabbage
pasta,169736,"Pasta, dry, enriched",,,,,api_hit,40.0,SR Legacy,pasta
steamed cod,167637,"Stew, steamed corn (Navajo)",,,,,api_hit,52.63157894736842,SR Legacy,steamed cod
miso seaweed,172442,Miso,,,,,api_hit,50.0,SR Legacy,miso seaweed
pork patty,172934,"Pork sausage, link/patty, unprepared",,,,,api_hit,43.47826086956522,SR Legacy,pork patty
mushroom,2003603,"Mushroom, beech",,,,,api_hit,69.56521739130434,Foundation,mushroom
mushroom vegetables,2003602,"Mushroom, maitake",,,,,api_hit,66.66666666666666,Foundation,mushroom vegetables
beef tendon/brisket,170602|170199,"Composite: Beef, cured, corned beef, canned | Beef, cured, corned beef, brisket, raw",,,,,api_hit_composite,31.11111111111111,composite,beef tendon/brisket
yogurt blueberries/flax seed/hempseed/chia seeds/kiwi,2346411|170554|2710819,"Composite: Blueberries, raw | Seeds, chia seeds, dried | Chia seeds, dry, raw",,,,,api_hit_composite,47.368421052631575,composite,yogurt blueberries/flax seed seed/hempseed/chia seeds seeds/kiwi
blueberries/1/2 kiwi,2346411,"Composite: Blueberries, raw",,,,,api_hit_composite,81.48148148148148,composite,blueberries/1/2 kiwi
